"ID","Collection","ENS","Minting Date","Tx Count","Power"
"2346399","0xcac4e89678818cd86adc5f728c3d53426f97b580","","Thu, 28 Oct 2021 05:45:50 GMT","1","1"
"2346401","0x076c4acd3e85b0d6b6b732f1dc58c29e2bc4af45","","Thu, 28 Oct 2021 05:46:03 GMT","1","2"
"2346403","0xbb9a9a2e2dd0ad7641dfa535afbda69abbef45bb","","Thu, 28 Oct 2021 05:46:40 GMT","1","69"
"2346404","0xe3d091e8122e65a0bd6a3b1bc1ee12b7c4ebb61f","","Thu, 28 Oct 2021 05:47:45 GMT","1","2"
"2346405","0x01491ea57f1549a0644530305745fbd285c456fb","","Thu, 28 Oct 2021 05:47:45 GMT","1","32"
"2346407","0xca7a1a193a02e0520b6b745cd2eb24967c27ca00","","Thu, 28 Oct 2021 05:47:55 GMT","1","4"
"2346408","0x910c60c049d833a7fd2f5bda310bbea1c5fa3598","nftnet.eth","Thu, 28 Oct 2021 05:48:30 GMT","1","1085"
"2346411","0x90246fbda1b6e80bf461957a6fec8f3786ac467c","","Thu, 28 Oct 2021 05:49:20 GMT","1","2"
"2346412","0xb49d525624c6bf21741aeda1b76b6bd26de86393","","Thu, 28 Oct 2021 05:49:35 GMT","1","1"
"2346413","0xf81d02a2797afd51c71225b07076f87b29bca025","huacaizi.eth","Thu, 28 Oct 2021 05:49:50 GMT","1","158"
"2346415","0xdb888e9d6a7525a042aae98f08dc9a9f2b43ada5","","Thu, 28 Oct 2021 05:50:35 GMT","1","31"
"2346417","0x99d6d24012361620bfa1a3f16d4e745066fc7c69","zs666.eth","Thu, 28 Oct 2021 05:51:00 GMT","1","125"
"2346421","0xf935861a8b8cc6867eeb463d97b501c69d177092","mistdao.eth","Thu, 28 Oct 2021 05:51:50 GMT","1","89"
"2346424","0x151a64570e4997739458455ba4ab5a535fd2e306","dghelm.eth","Thu, 28 Oct 2021 05:52:00 GMT","1","6"
"2346425","0x6280aeb92c12ef44e04a053d3d23e563b4217382","rymac.eth","Thu, 28 Oct 2021 05:52:23 GMT","1","18"
"2346426","0x42acf5773af88b0e49f413e10edf9bcef93c3805","marinade.eth","Thu, 28 Oct 2021 05:52:40 GMT","1","78"
"2346427","0xc5ba2b86292a73830cfe7619f24f4fcab66e398b","angelswap.eth","Thu, 28 Oct 2021 05:53:30 GMT","1","71"
"2346431","0x13ebd3443fa5575f0eb173e323d8419f7452cfb1","abcoathup.eth","Thu, 28 Oct 2021 05:56:50 GMT","1","46"
"2346433","0xd61d1072517d5d30bc50a145bd143f284a48372b","","Thu, 28 Oct 2021 05:57:30 GMT","1","80"
"2346434","0xed6c38a5e307d59daed4593a85e62171f526e0bd","sawmonandnatalie.eth","Thu, 28 Oct 2021 05:57:50 GMT","1","1"
"2346437","0xd04bf1c800f5a7fb380de6871d0dcea421d57c64","","Thu, 28 Oct 2021 06:00:40 GMT","1","34"
"2346440","0x3290603e448a2ce1831a4c4e68385d5e1531aced","xinan888.eth","Thu, 28 Oct 2021 06:00:55 GMT","1","1840"
"2346442","0xb512f6eda8d66092c5ab1d6c5ec718970e064683","rocklaw.eth","Thu, 28 Oct 2021 06:01:10 GMT","1","63"
"2346444","0x71bb18a0b1789237a69381fad951bb0a5a27ad62","","Thu, 28 Oct 2021 06:01:35 GMT","1","2"
"2346445","0x986a1de622305f441a3c763036ca06da417ffff4","lly1993.eth","Thu, 28 Oct 2021 06:01:45 GMT","1","1635"
"2346447","0xd35e15ce6e02927f4e455833d07e3bc0e120acad","","Thu, 28 Oct 2021 06:02:10 GMT","1","1"
"2346449","0x329a8ddfed3de5172b984053d4d7f64f2e2189dc","poapnft.eth","Thu, 28 Oct 2021 06:02:30 GMT","1","1497"
"2346453","0xa9ce001353e021767264f5ab6102e65bc9cd2023","","Thu, 28 Oct 2021 06:03:57 GMT","1","183"
"2346460","0x1b5c0ba26bf12aa73f6f9ce49e9523ac4cbb3d60","","Thu, 28 Oct 2021 06:05:35 GMT","1","2"
"2346461","0x46ac0c9c530dc960a4df75b20b594fba243e5b7c","xpunk.eth","Thu, 28 Oct 2021 06:05:45 GMT","1","43"
"2346465","0xc41bc99044fd4836dba4104bcf53b6f2b62716b1","","Thu, 28 Oct 2021 06:06:15 GMT","1","1"
"2346466","0x6da15dbdd8cc2c396629d0f732c06975f3244010","","Thu, 28 Oct 2021 06:06:15 GMT","1","1369"
"2346469","0x04e523105b51faedd538a821348b08b45799bfed","","Thu, 28 Oct 2021 06:06:45 GMT","1","3"
"2346470","0xb3e3d434c074272c8e99c88d40f188b92274a891","alexfurnica.eth","Thu, 28 Oct 2021 06:06:45 GMT","1","3"
"2346472","0xcfa22fd42ccacc10189e651a0d041c5b96a7f8e8","","Thu, 28 Oct 2021 06:07:15 GMT","1","16"
"2346477","0xd8086758daabc3e734ef5971eb7e2ad8f32a2f81","","Thu, 28 Oct 2021 06:07:45 GMT","1","11"
"2346478","0xbab71b94eeae1b53eec82ab3a01c8c453bd3f131","","Thu, 28 Oct 2021 06:08:05 GMT","1","422"
"2346483","0x0845fe2b09f3b54ec9ef780e53f24e1c3309fb9b","","Thu, 28 Oct 2021 06:09:30 GMT","1","1"
"2346491","0xa5a782a2b2be73421f75774186d4f8f1aabca2c4","","Thu, 28 Oct 2021 06:14:25 GMT","1","3"
"2346493","0xfc3551f3b51f27ca60efb25f45ed95d4e80e7071","0xaaa.eth","Thu, 28 Oct 2021 06:15:40 GMT","1","38"
"2346494","0x5deed99639d45d39537e66028ee2827a10226f2f","","Thu, 28 Oct 2021 06:15:50 GMT","1","20"
"2346496","0x006e7559beccc3f476dfd37f7e3e6c8fc51bcb84","","Thu, 28 Oct 2021 06:15:55 GMT","1","234"
"2346498","0xe2ce419dda558c61ed9c954586d8af65bf21df1a","","Thu, 28 Oct 2021 06:16:30 GMT","1","216"
"2346500","0xd1a5b91957530e1b3e9cfac1543467c60c352f69","effectchen.eth","Thu, 28 Oct 2021 06:16:45 GMT","1","963"
"2346503","0xcedba0a46d9aa1993e2b04658625339168bfab30","","Thu, 28 Oct 2021 06:17:25 GMT","1","3"
"2346507","0x4d9618239044a2ab2581f0cc954d28873afa4d7b","","Thu, 28 Oct 2021 06:19:55 GMT","1","29"
"2346515","0x61323c5c6696fde1d334fee5f49f1fac8781d0cf","996icu.eth","Thu, 28 Oct 2021 06:22:25 GMT","1","1355"
"2346517","0xad24e0801744b692fa1344a088d8ff5a14b752f1","","Thu, 28 Oct 2021 06:22:50 GMT","1","5"
"2346555","0x77785f17df41b24f341beba4a50ce25f3dcdbfd0","","Thu, 28 Oct 2021 06:30:15 GMT","1","36"
"2346567","0xac5fd8abbfb2efdb330f627d9d69d1c0909d6316","yisosd.eth","Thu, 28 Oct 2021 06:31:25 GMT","1","621"
"2346589","0x49bc2e5322bb90a4306874645a523d9e5ea65f81","","Thu, 28 Oct 2021 06:33:45 GMT","1","752"
"2346607","0x75fd2bea5c16f587565770250d638d967f982953","havecoin.eth","Thu, 28 Oct 2021 06:37:55 GMT","1","413"
"2346611","0xb1c87a6d46499e25fb39676d6663a4157cca42dc","","Thu, 28 Oct 2021 06:38:10 GMT","1","1"
"2346612","0xf05abab203216009f6e41920845ed940c947acc1","","Thu, 28 Oct 2021 06:38:10 GMT","1","634"
"2346617","0x0c403e0d57eeb8f091bcfa8efdf01c00509f04f2","tomasu.eth","Thu, 28 Oct 2021 06:38:25 GMT","1","103"
"2346635","0xdbf04a799f96f1409f4ac1aa9ce5a324fbc9d5e6","dnnnvx.argent.xyz","Thu, 28 Oct 2021 06:41:20 GMT","1","2"
"2346647","0xaa470c4addd38c70595b50fd169a1c293cf56ab8","denniswon.eth","Thu, 28 Oct 2021 06:42:40 GMT","1","4"
"2346652","0x7084c8a2943df2115c4ca9b70ce6b963a5993906","","Thu, 28 Oct 2021 06:42:50 GMT","1","1"
"2346708","0xa65dbb197e5a9b330372e08a953b1bffa89f0d05","","Thu, 28 Oct 2021 06:50:15 GMT","1","2"
"2346720","0x7af2dbb733daed7b340b4215d23811563375f0f7","","Thu, 28 Oct 2021 06:50:50 GMT","1","338"
"2346721","0x000000064730640b7d670408d74280924883064f","coinfreak.eth","Thu, 28 Oct 2021 06:50:50 GMT","1","45"
"2346750","0x4c2c20542d75e08328d21f0c7365823d2752e07c","","Thu, 28 Oct 2021 06:54:20 GMT","1","21"
"2346769","0x3405d0f0bff6d85fe63a691709351d2b4f73fb64","shrikar.eth","Thu, 28 Oct 2021 06:56:25 GMT","1","1"
"2346782","0x3ddd81300529ce3641d6c57dc8d95d550763cb0c","smets.eth","Thu, 28 Oct 2021 06:57:25 GMT","1","2"
"2346786","0x8bcbb2743467773c65eff63ba77d2cace3c8691b","","Thu, 28 Oct 2021 06:57:55 GMT","1","30"
